"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","nwspol","polintr","trstprl","trstplc","lrscale","imbgeco","imueclt","imwbcnt","gndr","agea","eduyrs","inwds","ainws","ainwe","binwe","inwtm","prob","stratum","psu"
"ESS11e04_1",11,"4.1","12.01.2026",50004,"DE",0.9958686,0.40840805,2.9929698,1.222353,5,2,7,8,5,10,10,5,1,34,17,2023-09-07 09:03:48,2023-09-07 09:03:52,2023-09-07 09:13:33,2023-09-07 09:21:37,79,0.00012835317,288,5433
"ESS11e04_1",11,"4.1","12.01.2026",50032,"DE",0.9958686,0.8206315,2.9929698,2.4561253,600,2,4,8,3,7,8,7,2,42,17,2023-09-08 10:00:45,2023-09-08 10:00:46,2023-09-08 10:07:30,2023-09-08 10:23:17,65,0.00012835317,292,5564
"ESS11e04_1",11,"4.1","12.01.2026",50052,"DE",0.9958686,4.342649,2.9929698,12.997417,15,4,8,8,5,5,5,5,1,41,5,2023-11-27 17:09:45,2023-11-27 17:09:49,2023-11-27 17:16:28,2023-11-27 17:46:54,115,0.00012835317,288,5506
"ESS11e04_1",11,"4.1","12.01.2026",50059,"DE",0.9958687,0.6844542,2.9929698,2.0485508,30,3,7,8,5,8,8,8,2,58,13,2023-10-23 16:28:33,2023-10-23 16:28:36,2023-10-23 16:31:11,2023-10-23 16:45:35,70,0.00012835316,270,5436
"ESS11e04_1",11,"4.1","12.01.2026",50070,"DE",0.99586856,4.342649,2.9929698,12.997417,1029,1,7,9,6,7,5,5,1,40,17,2023-10-26 17:07:36,2023-10-26 17:07:40,2023-10-26 17:10:03,2023-10-26 17:21:40,53,0.00012835317,288,5577
"ESS11e04_1",11,"4.1","12.01.2026",50083,"DE",1.0267323,0.453607,2.9929698,1.357632,60,1,8,9,3,8,8,8,1,46,17,2023-09-29 17:27:42,2023-09-29 17:27:44,2023-09-29 17:30:27,2023-09-29 17:39:04,51,0.00012449485,279,5892
"ESS11e04_1",11,"4.1","12.01.2026",50085,"DE",0.9958686,0.2591892,2.9929698,0.7757454,903,1,6,10,5,6,5,5,1,56,11,2023-07-31 15:02:13,2023-07-31 15:02:16,2023-07-31 15:04:26,2023-07-31 15:16:15,56,0.00012835317,289,5505
"ESS11e04_1",11,"4.1","12.01.2026",50090,"DE",0.9958686,0.33043048,2.9929698,0.98896843,180,1,1,1,7,2,2,1,1,63,15,2023-08-10 18:57:34,2023-08-10 18:57:35,2023-08-10 19:59:45,2023-08-10 20:23:29,116,0.00012835317,293,5469
"ESS11e04_1",11,"4.1","12.01.2026",50099,"DE",0.9958686,0.21586536,2.9929698,0.64607847,90,1,8,8,4,8,5,7,1,24,14,2023-07-17 17:55:52,2023-07-17 17:56:06,2023-07-17 17:59:05,2023-07-17 18:12:32,68,0.00012835317,281,5444
"ESS11e04_1",11,"4.1","12.01.2026",50100,"DE",0.9958686,0.6592424,2.9929698,1.9730926,30,2,10,8,4,6,6,5,1,57,20,2023-09-19 18:42:06,2023-09-19 18:42:08,2023-09-19 18:44:48,2023-09-19 19:03:48,88,0.00012835317,289,5539
"ESS11e04_1",11,"4.1","12.01.2026",50129,"DE",0.9958686,0.61751944,2.9929698,1.848217,60,2,6,8,5,6,5,5,1,66,15,2023-10-30 15:54:15,2023-10-30 15:54:16,2023-10-30 15:55:31,2023-10-30 16:02:57,38,0.00012835317,281,5563
"ESS11e04_1",11,"4.1","12.01.2026",50138,"DE",0.9958686,0.61751944,2.9929698,1.848217,30,3,0,9,8,5,5,2,1,80,9,2023-10-22 10:56:33,2023-10-22 10:56:34,2023-10-22 10:58:30,2023-10-22 11:12:01,56,0.00012835317,289,5549
"ESS11e04_1",11,"4.1","12.01.2026",50148,"DE",0.9958686,0.6592424,2.9929698,1.9730926,60,2,7,8,3,7,5,6,1,64,28,2023-10-20 16:06:09,2023-10-20 16:06:11,2023-10-20 16:08:32,2023-10-20 16:26:24,81,0.00012835317,293,5537
"ESS11e04_1",11,"4.1","12.01.2026",50156,"DE",0.9958686,0.17377663,2.9929698,0.52010816,15,3,7,7,77,5,5,5,2,38,17,2023-09-19 16:22:16,2023-09-19 16:22:18,2023-09-19 16:24:43,2023-09-19 16:34:59,52,0.00012835317,281,5586
"ESS11e04_1",11,"4.1","12.01.2026",50162,"DE",0.9958686,0.76768684,2.9929698,2.2976635,45,1,6,8,8,9,5,4,1,48,20,2023-07-28 16:32:55,2023-07-28 16:32:56,2023-07-28 16:35:35,2023-07-28 16:44:11,47,0.00012835317,288,5548
"ESS11e04_1",11,"4.1","12.01.2026",50165,"DE",0.99586856,0.23618685,2.9929698,0.70690006,45,2,8,8,6,7,5,5,1,38,18,2023-10-24 16:31:33,2023-10-24 16:31:34,2023-10-24 16:33:27,2023-10-24 16:41:49,48,0.00012835317,289,5471
"ESS11e04_1",11,"4.1","12.01.2026",50195,"DE",0.9958686,0.18998666,2.9929698,0.5686243,90,1,5,8,7,8,7,7,1,73,16,2023-06-22 18:22:30,2023-06-22 18:22:31,2023-06-22 18:24:50,2023-06-22 18:37:09,60,0.00012835317,289,5481
"ESS11e04_1",11,"4.1","12.01.2026",50204,"DE",0.9958686,0.25247604,2.9929698,0.75565314,20,3,4,8,3,5,7,5,2,49,18,2023-06-19 19:08:36,2023-06-19 19:08:37,2023-06-19 19:11:16,2023-06-19 19:26:26,63,0.00012835317,270,5463
"ESS11e04_1",11,"4.1","12.01.2026",50228,"DE",0.9958686,0.9278058,2.9929698,2.7768946,30,2,5,5,0,5,5,5,2,50,14,2023-11-09 08:31:28,2023-11-09 08:31:30,2023-11-09 08:34:12,2023-11-09 09:14:28,124,0.00012835317,289,5570
"ESS11e04_1",11,"4.1","12.01.2026",50267,"DE",0.9958686,0.29818803,2.9929698,0.89246774,25,2,6,8,5,7,6,3,2,60,15,2023-08-21 10:35:46,2023-08-21 10:35:48,2023-08-21 10:37:53,2023-08-21 10:48:28,58,0.00012835317,288,5485
"ESS11e04_1",11,"4.1","12.01.2026",50268,"DE",0.9958687,0.8195547,2.9929698,2.4529023,90,1,2,3,5,8,7,6,1,41,19,2023-11-02 13:33:28,2023-11-02 13:33:31,2023-11-02 13:36:39,2023-11-02 13:50:14,65,0.00012835316,289,5523
"ESS11e04_1",11,"4.1","12.01.2026",50275,"DE",0.9958686,0.1490458,2.9929698,0.44608957,15,2,6,8,4,3,5,4,2,28,15,2023-05-19 13:58:26,2023-05-19 13:58:29,2023-05-19 14:01:38,2023-05-19 14:16:44,71,0.00012835317,289,5453
"ESS11e04_1",11,"4.1","12.01.2026",50280,"DE",0.99586856,0.9957759,2.9929698,2.9803271,5,3,7,8,4,8,7,7,2,39,17,2023-05-25 18:05:56,2023-05-25 18:06:12,2023-05-25 18:10:48,2023-05-25 18:33:13,119,0.00012835317,290,5535
"ESS11e04_1",11,"4.1","12.01.2026",50293,"DE",0.9958686,4.342649,2.9929698,12.997417,25,2,3,9,5,5,6,6,2,47,11,2023-06-26 10:10:42,2023-06-26 10:10:45,2023-06-26 10:15:03,2023-06-26 10:35:58,76,0.00012835317,281,5513
"ESS11e04_1",11,"4.1","12.01.2026",50295,"DE",0.9958686,1.0346941,2.9929698,3.096808,30,3,7,9,2,4,5,3,2,62,14,2023-11-24 14:32:03,2023-11-24 14:32:05,2023-11-24 14:35:19,2023-11-24 14:51:12,75,0.00012835317,289,5530
"ESS11e04_1",11,"4.1","12.01.2026",50312,"DE",0.9958686,0.96921027,2.9929698,2.900817,880,2,9,9,5,4,5,3,2,72,11,2023-05-23 14:40:16,2023-05-23 14:40:17,2023-05-23 14:42:40,2023-05-23 14:56:28,59,0.00012835317,290,5554
"ESS11e04_1",11,"4.1","12.01.2026",50368,"DE",0.9958686,2.0496614,2.9929698,6.1345744,543,2,6,7,5,4,4,5,1,39,13,2023-05-30 09:03:42,2023-05-30 09:03:42,2023-05-30 09:05:58,2023-05-30 09:16:35,47,0.00012835317,289,5593
"ESS11e04_1",11,"4.1","12.01.2026",50371,"DE",0.9958686,1.526674,2.9929698,4.569289,15,2,5,7,4,8,7,7,1,38,13,2023-09-21 18:48:14,2023-09-21 18:48:19,2023-09-21 18:53:15,2023-09-21 19:32:50,98,0.00012835317,289,5539
"ESS11e04_1",11,"4.1","12.01.2026",50376,"DE",0.9958686,1.0098996,2.9929698,3.022599,80,3,4,5,3,6,7,7,1,39,13,2023-06-29 17:38:00,2023-06-29 17:38:01,2023-06-29 17:40:49,2023-06-29 17:51:21,64,0.00012835317,293,5435
"ESS11e04_1",11,"4.1","12.01.2026",50387,"DE",0.9958686,0.33043048,2.9929698,0.98896843,120,3,0,10,0,0,0,10,1,59,10,2023-11-03 10:05:41,2023-11-03 10:05:44,2023-11-03 10:10:51,2023-11-03 10:32:53,,0.00012835317,288,5480
